source,sourceLabel,target,targetLabel,richtingBeschrijving,rolLabel,start,eind,punt
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q15461013,Frans De Potter,Onderlinge Correspondentie (Source → Target),secretaris,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q2360914,Edward Gailliard,Onderlinge Correspondentie (Source → Target),secretaris,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q23895006,Jan Willem Brouwers,Onderlinge Correspondentie (Source → Target),buitenlands erelid,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q2062803,William Henry James Weale,Onderlinge Correspondentie (Source → Target),buitenlands erelid,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q56036018,Alexandre Bonvarlet,Onderlinge Correspondentie (Source → Target),buitenlands erelid,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q1920135,Jan Bols,Onderlinge Correspondentie (Source → Target),binnenlands erelid,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q56036064,Peter Jozef Scherpenseel,Onderlinge Correspondentie (Source → Target),binnenlands erelid,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q2319173,Gerrit Jacob Boekenoogen,Onderlinge Correspondentie (Source → Target),buitenlands erelid,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q2203619,Camille Looten,Onderlinge Correspondentie (Source → Target),buitenlands erelid,,,
http://www.wikidata.org/entity/Q1268453,Koninklijke Academie voor Nederlandse Taal en Letteren,http://www.wikidata.org/entity/Q2457997,Constant Hansen,Onderlinge Correspondentie (Source → Target),binnenlands erelid,,,
